Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP,PAR,Salinity,Descent Rate (m/s),Flag,DOY
5/4/2018 12:13,2.312,13.5717,2.6559,3.1144,28.713,22.188314,10.0574,96.815,7.505,345.0285,143.03,1.947724003,0.027,0,124.5096875
5/4/2018 12:13,2.322,13.6194,2.62,3.1341,28.701,22.174463,10.0507,96.733,7.503,345.1457,139.86,1.944469161,0.026,0,124.5096875
5/4/2018 12:13,2.329,13.6343,2.5628,3.1363,28.716,22.173867,10.0395,96.58,7.5,345.21,137.6,1.944797572,0.023,0,124.5096875
5/4/2018 12:13,2.334,13.6327,2.5251,3.1105,28.744,22.181091,10.0262,96.398,7.498,345.2036,136.44,1.946884719,0.019,0,124.5096875
5/4/2018 12:13,2.338,13.6386,2.5229,3.0968,28.782,22.198308,10.0118,96.216,7.496,345.0685,135.39,1.949312397,0.014,0,124.5096875
5/4/2018 12:13,2.34,13.6325,2.5631,3.0928,28.785,22.191582,9.996,96.032,7.493,344.8662,135.74,1.94983385,0.01,0,124.5096875
5/4/2018 12:13,2.341,13.6071,2.6347,3.0921,28.758,22.163233,9.9809,95.859,7.49,344.8228,136.01,1.949173876,0.007,0,124.5096875
5/4/2018 12:13,2.343,13.5775,2.6714,3.089,28.778,22.172945,9.9706,95.737,7.487,344.8881,135.06,1.952098011,0.005,0,124.5096875
5/4/2018 12:13,2.345,13.5565,2.6674,3.0854,28.792,22.182026,9.9664,95.69,7.487,344.7952,134.32,1.954161481,0.003,0,124.5096875
5/4/2018 12:13,2.345,13.5446,2.7055,3.0793,28.747,22.146075,9.968,95.702,7.487,344.6462,134.06,1.951528235,0.003,0,124.5096875
5/4/2018 12:13,2.345,13.5318,2.8007,3.0448,28.722,22.119145,9.9782,95.772,7.488,344.5491,133.78,1.950376352,0.004,0,124.5096875
5/4/2018 12:13,2.345,13.5169,2.863,3.0348,28.732,22.110341,9.9945,95.868,7.488,344.4821,134.03,1.9518457,0.008,0,124.5096875
5/4/2018 12:13,2.345,13.5158,2.87,3.0811,28.75,22.103096,10.0089,95.927,7.488,344.5246,134.44,1.953195344,0.016,0,124.5096875
5/4/2018 12:13,2.347,13.5205,2.876,3.1468,28.767,22.094998,10.0178,95.935,7.487,344.6321,134.24,1.954180578,0.027,0,124.5096875
5/4/2018 12:13,2.354,13.5088,2.8992,3.2492,28.768,22.075892,10.0222,95.905,7.485,344.6641,133.56,1.954842809,0.04,0,124.5096875
5/4/2018 12:13,2.367,13.4767,2.9217,3.3123,28.774,22.062502,10.0227,95.841,7.48,344.7382,131.78,1.9568958,0.052,0,124.5096875
5/4/2018 12:13,2.385,13.4356,2.9457,3.2997,28.794,22.060042,10.0195,95.745,7.474,344.9262,129.98,1.960416355,0.063,0,124.5096875
5/4/2018 12:13,2.406,13.3993,3.0974,3.2797,28.796,22.046126,10.0122,95.616,7.464,344.9587,128.38,1.962401355,0.073,0,124.5096875
5/4/2018 12:13,2.426,13.3657,3.3592,3.2232,28.783,22.021194,9.9989,95.432,7.453,344.7868,126.6,1.963169359,0.079,0,124.5096875
5/4/2018 12:13,2.446,13.3344,3.4914,3.1351,28.793,22.012496,9.9826,95.217,7.448,344.6552,124.57,1.965483063,0.082,0,124.5096875
5/4/2018 12:13,2.469,13.3021,3.4917,3.0994,28.803,22.004418,9.9664,95.006,7.447,344.7439,121.9,1.967850807,0.083,0,124.5096875
5/4/2018 12:13,2.492,13.2748,3.4828,3.0964,28.796,21.986992,9.9491,94.797,7.447,344.9989,120.19,1.968736506,0.083,0,124.5096875
5/4/2018 12:13,2.512,13.2515,3.402,3.0989,28.815,21.992229,9.9324,94.605,7.446,345.2426,118.81,1.971301663,0.083,0,124.5096875
5/4/2018 12:13,2.532,13.2207,3.2315,3.1309,28.841,22.004242,9.9153,94.415,7.444,345.2815,117.17,1.974761139,0.082,0,124.5096875
5/4/2018 12:13,2.554,13.1919,3.1218,3.1466,28.851,22.005273,9.8956,94.202,7.441,345.1253,114.92,1.976962468,0.08,0,124.5096875
