Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag,DOY,site
5/16/2018 10:22,0.817,23.2037,1.6955,0.6612,111.707,107.695259,8.599,100.656,7.947,252.626,65.861,6.595143117,0.038,0,136.4323843,ccr50
5/16/2018 10:22,0.83,23.2026,1.7316,0.6622,111.726,107.708958,8.5972,100.632,7.947,252.5864,65.121,6.596513709,0.042,0,136.4323843,ccr50
5/16/2018 10:22,0.843,23.2017,1.7486,0.6661,111.731,107.710307,8.598,100.637,7.946,252.5955,64.619,6.59696376,0.043,0,136.4323843,ccr50
5/16/2018 10:22,0.855,23.2005,1.7441,0.6473,111.735,107.71156,8.6018,100.678,7.945,252.6498,64.289,6.597394593,0.041,0,136.4323843,ccr50
5/16/2018 10:22,0.866,23.1985,1.7232,0.6175,111.75,107.72411,8.6057,100.722,7.943,252.7265,63.93,6.598643587,0.037,0,136.4323843,ccr50
5/16/2018 10:22,0.876,23.1967,1.6894,0.6105,111.762,107.734542,8.6092,100.763,7.942,252.6627,63.545,6.599672333,0.031,0,136.4323843,ccr50
5/16/2018 10:22,0.883,23.1949,1.675,0.6244,111.736,107.710192,8.6099,100.772,7.942,252.48,63.189,6.598281773,0.024,0,136.4323843,ccr50
5/16/2018 10:22,0.887,23.1934,1.6785,0.6624,111.709,107.684693,8.6049,100.714,7.943,252.4107,63.043,6.596783518,0.018,0,136.4323843,ccr50
5/16/2018 10:22,0.89,23.1929,1.6944,0.674,111.704,107.681235,8.597,100.624,7.943,252.5129,63.063,6.596538641,0.013,0,136.4323843,ccr50
5/16/2018 10:22,0.891,23.1926,1.7206,0.6739,111.689,107.668381,8.5894,100.536,7.944,252.6839,63.148,6.595627683,0.011,0,136.4323843,ccr50
5/16/2018 10:22,0.891,23.1926,1.7378,0.6912,111.679,107.656771,8.5827,100.456,7.944,252.8434,63.296,6.594991021,0.013,0,136.4323843,ccr50
5/16/2018 10:22,0.893,23.1934,1.7462,0.6688,111.694,107.668359,8.5785,100.403,7.944,252.8923,63.295,6.595828077,0.017,0,136.4323843,ccr50
5/16/2018 10:22,0.897,23.1941,1.7478,0.6473,111.711,107.680985,8.5783,100.398,7.942,252.8449,62.975,6.596807199,0.022,0,136.4323843,ccr50
5/16/2018 10:22,0.904,23.1948,1.7575,0.645,111.715,107.681926,8.5818,100.438,7.94,252.8721,62.536,6.596958084,0.03,0,136.4323843,ccr50
5/16/2018 10:22,0.914,23.1945,1.7807,0.6413,111.714,107.679732,8.5854,100.479,7.936,252.9641,62.179,6.596937801,0.036,0,136.4323843,ccr50
5/16/2018 10:22,0.924,23.1921,1.7986,0.6642,111.689,107.654452,8.5873,100.499,7.935,253.0105,61.711,6.595699225,0.04,0,136.4323843,ccr50
5/16/2018 10:22,0.937,23.1901,1.8087,0.6777,111.667,107.631262,8.5873,100.498,7.936,253.0884,61.092,6.594592282,0.042,0,136.4323843,ccr50
5/16/2018 10:22,0.951,23.1894,1.8297,0.6817,111.692,107.654327,8.5857,100.477,7.938,253.1317,60.618,6.596286124,0.042,0,136.4323843,ccr50
5/16/2018 10:22,0.961,23.189,1.8682,0.7131,111.72,107.678342,8.5845,100.46,7.94,253.0185,60.318,6.598127554,0.041,0,136.4323843,ccr50
5/16/2018 10:22,0.97,23.1883,1.8885,0.7206,111.713,107.666628,8.5844,100.455,7.942,252.9236,59.977,6.597784511,0.041,0,136.4323843,ccr50
5/16/2018 10:22,0.979,23.1873,1.881,0.6814,111.693,107.64019,8.5845,100.45,7.942,252.9316,59.733,6.596657551,0.042,0,136.4323843,ccr50
5/16/2018 10:22,0.988,23.1873,1.8333,0.6673,111.676,107.613657,8.5852,100.45,7.94,253.0283,59.595,6.595574426,0.044,0,136.4323843,ccr50
5/16/2018 10:22,0.997,23.1863,1.762,0.6714,111.672,107.600805,8.5854,100.445,7.938,253.2323,59.21,6.595466604,0.044,0,136.4323843,ccr50
5/16/2018 10:22,1.012,23.184,1.7359,0.6394,111.69,107.61228,8.5846,100.431,7.937,253.3339,58.62,6.596950901,0.042,0,136.4323843,ccr50
5/16/2018 10:22,1.029,23.1805,1.7391,0.6162,111.706,107.62489,8.5839,100.421,7.938,253.3102,58.207,6.598484453,0.039,0,136.4323843,ccr50
5/16/2018 10:22,1.041,23.1754,1.7544,0.6357,111.706,107.625766,8.584,100.422,7.94,253.3756,58.095,6.599235911,0.035,0,136.4323843,ccr50
5/16/2018 10:22,1.046,23.1709,1.7917,0.6602,111.703,107.622868,8.587,100.458,7.943,253.4365,57.979,6.599708369,0.032,0,136.4323843,ccr50
