
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.10"
File Name,DO_8m_20190208,,Exported,"Aqua4Plus 1.9.10"
# Records,  3631 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,4.250,26.193,12.639,11.020,4.130,
,Maximum,6.813,26.722,14.010,13.210,6.290,
,Mean,5.104,26.457,13.220,12.088,5.058,
,Variance,0.1800,0.0102,0.2307,0.2508,0.1533,
,Std Deviation,0.4242,0.1008,0.4803,0.5008,0.3915,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
205,10-Feb-19 18:00:00,4.813,26.484,13.086,12.870,4.850
206,10-Feb-19 18:15:00,4.813,26.489,12.996,12.870,4.860
207,10-Feb-19 18:30:00,4.875,26.515,13.026,12.890,4.870
208,10-Feb-19 18:45:00,4.875,26.509,12.996,12.880,4.860
209,10-Feb-19 19:00:00,4.813,26.506,12.996,12.880,4.870
210,10-Feb-19 19:15:00,4.875,26.518,12.966,12.870,4.860
211,10-Feb-19 19:30:00,4.875,26.509,12.966,12.890,4.860
212,10-Feb-19 19:45:00,4.813,26.506,12.966,12.860,4.860
213,10-Feb-19 20:00:00,4.813,26.515,12.937,12.870,4.870
214,10-Feb-19 20:15:00,4.875,26.515,12.907,12.880,4.870
215,10-Feb-19 20:30:00,4.875,26.502,12.907,12.870,4.880
216,10-Feb-19 20:45:00,4.875,26.511,12.937,12.870,4.880
217,10-Feb-19 21:00:00,4.813,26.509,12.877,12.850,4.860
218,10-Feb-19 21:15:00,4.813,26.513,12.877,12.840,4.840
219,10-Feb-19 21:30:00,4.813,26.485,12.877,12.820,4.840
220,10-Feb-19 21:45:00,4.813,26.476,12.847,12.890,4.840
221,10-Feb-19 22:00:00,4.813,26.507,12.847,12.850,4.840
222,10-Feb-19 22:15:00,4.813,26.482,12.847,12.850,4.830
223,10-Feb-19 22:30:00,4.813,26.475,12.847,12.860,4.840
224,10-Feb-19 22:45:00,4.813,26.438,12.788,12.850,4.840
225,10-Feb-19 23:00:00,4.813,26.495,12.847,12.870,4.830
226,10-Feb-19 23:15:00,4.813,26.491,12.817,12.900,4.800
227,10-Feb-19 23:30:00,4.813,26.457,12.788,12.920,4.780
228,10-Feb-19 23:45:00,4.813,26.455,12.817,12.950,4.770
229,11-Feb-19 00:00:00,4.750,26.460,12.817,12.900,4.770
230,11-Feb-19 00:15:00,4.813,26.467,12.788,12.900,4.760
231,11-Feb-19 00:30:00,4.750,26.470,12.788,12.880,4.770
232,11-Feb-19 00:45:00,4.750,26.466,12.758,12.920,4.760
233,11-Feb-19 01:00:00,4.750,26.475,12.758,12.930,4.750
234,11-Feb-19 01:15:00,4.750,26.464,12.758,12.900,4.750
235,11-Feb-19 01:30:00,4.750,26.447,12.758,12.920,4.740
236,11-Feb-19 01:45:00,4.750,26.463,12.758,12.940,4.730
237,11-Feb-19 02:00:00,4.750,26.454,12.758,12.920,4.710
238,11-Feb-19 02:15:00,4.750,26.427,12.728,12.920,4.710
239,11-Feb-19 02:30:00,4.750,26.450,12.758,12.950,4.730
240,11-Feb-19 02:45:00,4.750,26.442,12.758,12.950,4.710
241,11-Feb-19 03:00:00,4.750,26.425,12.758,12.900,4.710
